Student,Lec 1,Lec 2,Lec 3,Lec 4,Lec 5,Lec 6,Lec 7,Lec 8,Lec 9,Lec 10,Lec 11,Lec 12,Lec 13,Lec 14,Lec 15,Lec 16,Lec 17,Lec 18,Lec 19,Lec 20,Lec 21,Lec 22,Lec 23,Lec 24,Lec 25,Lec 26,Lec 27,Lec 28,Activity 1,Activity 2,Activity 3,Activity 4,Activity 5,Activity 6,Activity 7,Activity 8,Activity 9,Activity 10,Activity 11,Activity 12,Activity 13,Activity 14,Activity 15,Activity 16
S23.30,,1,1,1,1,1,0,1,1,0,,1,1,1,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.31,,1,1,1,1,1,1,0.8,1,1,,0.8,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.32,,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.33,,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.34,,1,1,1,1,1,1,1,0.6,0,,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.35,,1,1,1,1,1,0,1,1,1,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.36,,1,1,1,0,1,1,0,1,1,,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.37,,1,1,0,0,1,0.8,1,0,0,,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.38,,1,1,1,1,1,0,1,1,1,,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.39,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.40,,1,1,1,1,1,1,0,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.41,,1,1,1,1,1,1,0.8,0.6,1,,0.8,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.42,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.43,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.44,,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.45,,1,1,1,1,1,1,0.8,1,1,,0.8,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.46,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.47,,1,1,1,0,1,1,0,1,1,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.48,,1,1,1,1,1,1,1,0,0,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.49,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.50,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.51,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.52,,1,1,1,1,1,1,1,1,0.8,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.53,,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.54,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
