Table Names,Student,HW 1: Vocab ,HW 2: Qualitative Data ,HW 3: Quantitative Displays ,HW 6: Relative Position,HW 7R: Midterm 1 Review,HW 12: RV & Normal Dist part 1,HW 20R: Final Exam Review 1,HW 24R: Final Exam Review 2,HW 4: Quantitative Data part 1,HW 5: Quantitative Data part 2,HW 8: Scatterplots and correlation,"HW 9: Correlation, Regression",HW 10: Probability Part 1,HW 11: Probability Part 2,HW 13: Normal Distribution part 2,HW 14: Sampling Distributions of p-hat,HW 15: 1 sample CI for p (part 1),HW 16: 1 sample CI for p (part 2),HW 17: Intro to Hypothesis Testing,HW 18R: Midterm 2 Review,HW 19: 1 sample HT for p,HW 21: Sampling Distribution of x-bar,HW 22: 1 sample CI for mu,HW 23: 1 sample HT for mu
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.93,4.17,9.08,4.85,0,0,3.35,0,0,2.18,1.8,0,0,0,0,0,0,0,0,4.52,8,0,0,0,0
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.94,9.67,10,5,9.58,10,8.85,10,10,9.57,9.64,9.82,8.52,10,8.74,6.84,10,9.47,8.34,3.42,10,9.41,10,10,3.66
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.95,8.99,10,10,10,10,8.28,10,10,9.57,10,9.43,8.89,10,9.37,8.31,10,10,10,9.68,10,10,9.71,10,8.98
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.96,10,10,9.7,9.37,6.89,0,10,10,10,10,9.06,10,10,10,0,10,6.86,5,0,9.25,9.41,5,3.74,3.99
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.97,8.33,7.7,0,9.16,0,0,0,0,8.27,9.28,0,7.78,0,7.49,1.82,8.63,4.76,0,0,0,0,0,0,0
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.98,10,10,10,10,10,9.77,10,10,9.14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.99,9.66,10,9.6,10,10,0,10,0,10,10,9.62,8.89,10,9.37,9.74,9.19,9.47,10,8.72,10,10,9.71,7.48,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.100,10,10,10,10,10,10,10,10,10,10,9.81,10,10,10,9.74,9.72,10,10,10,10,10,10,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.101,8.67,10,10,9.58,10,9.77,10,10,10,9.64,8.3,8.89,10,10,9.46,8.9,9.47,8.34,10,9.75,9.41,10,9.37,9.34
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.102,9,10,9.6,9.58,10,8.17,10,7.04,9.12,3.57,8.32,8.52,10,9.37,8.42,7.56,7.92,10,10,9.5,10,9.13,6.87,7
